"typeID","typeName","manufacture","group_level1","group_level2","group_level3","group_level4","group_level5","group_level6","group_level7"
351317,"80GJ Blaster","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Blaster","Large","Standard",NULL
351332,"80GJ Particle Accelerator","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Railgun","Large","Advanced",NULL
351336,"80GJ Railgun","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Railgun","Large","Standard",NULL
351337,"20GJ Railgun","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Railgun","Small","Standard",NULL
351614,"Basic 120mm Armor Plates","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Plates","120mm Armor Plates",NULL
351615,"Basic 60mm Armor Plates","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Plates","60mm Armor Plates",NULL
351669,"Basic Armor Plates","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Plates","Armor Plates",NULL
351670,"Enhanced Armor Plates","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Plates","Armor Plates",NULL
351671,"Complex Armor Plates","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Plates","Armor Plates",NULL
351673,"Basic Armor Repairer","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Repairers","Armor Repairers",NULL
351674,"Enhanced Armor Repairer","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Repairers","Armor Repairers",NULL
351675,"Complex Armor Repairer","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Repairers","Armor Repairers",NULL
351706,"Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Standard",NULL
351709,"AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Standard",NULL
351732,"'Goliath' Basic Armor Plates","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Plates","Armor Plates",NULL
351855,"Mass Driver","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Mass Drivers","Standard",NULL
351865,"Basic Heavy Armor Repairer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Repairers","Heavy",NULL
351905,"Basic Shield Extender","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Extenders","Shield Extenders",NULL
351906,"Enhanced Shield Extender","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Extenders","Shield Extenders",NULL
351907,"Complex Shield Extender","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Extenders","Shield Extenders",NULL
351908,"Basic Shield Recharger","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Rechargers","Shield Rechargers",NULL
351909,"Enhanced Shield Recharger","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Rechargers","Shield Rechargers",NULL
351910,"Complex Shield Recharger","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Rechargers","Shield Rechargers",NULL
352019,"'Monolith' Basic Armor Repairer","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Repairers","Armor Repairers",NULL
352020,"'Kinesis' Basic Shield Extender","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Extenders","Shield Extenders",NULL
352021,"'Synapse' Basic Shield Recharger","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Rechargers","Shield Rechargers",NULL
352032,"Basic Light Shield Booster","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Boosters","Light",NULL
352034,"Basic Light Shield Extender","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Extenders","Light",NULL
352035,"Basic Heavy Shield Extender","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Extenders","Heavy",NULL
352046,"'Menhir' Enhanced Armor Repairer","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Repairers","Armor Repairers",NULL
352047,"'Obelisk' Complex Armor Repairer","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Repairers","Armor Repairers",NULL
352048,"'Samson' Enhanced Armor Plates","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Plates","Armor Plates",NULL
352049,"'Hercules' Complex Armor Plates","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Armor","Armor Plates","Armor Plates",NULL
352051,"'Spark' Enhanced Shield Recharger","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Rechargers","Shield Rechargers",NULL
352052,"'Impulse' Enhanced Shield Extender","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Extenders","Shield Extenders",NULL
352089,"Basic Light Armor Repairer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Repairers","Light",NULL
352263,"Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Standard",NULL
352277,"Basic Armor Hardener","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Hardeners","Armor Hardeners",NULL
352293,"Basic Shield Hardener","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Hardeners","Shield Hardeners",NULL
352499,"Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Standard",NULL
352508,"Flux Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Flux Grenades","Standard",NULL
352556,"Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Standard",NULL
352602,"Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Standard",NULL
352891,"Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Standard",NULL
353032,"Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Standard",NULL
353106,"Breach Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Standard",NULL
353108,"'Blindfire' Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Standard",NULL
353109,"GEK-38 Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Advanced",NULL
353110,"GK-13 Burst Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Advanced",NULL
353112,"'Gorewreck' GK-13 Burst Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Advanced",NULL
353113,"'Killswitch' GEK-38 Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Advanced",NULL
353114,"Duvolle Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Prototype",NULL
353115,"CreoDron Breach Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Prototype",NULL
353116,"Allotek Burst Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Prototype",NULL
353117,"'Codewish' Duvolle Tactical Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Prototype",NULL
353127,"Breach Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Standard",NULL
353128,"'Slashvent' Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Standard",NULL
353129,"M512-A Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Advanced",NULL
353130,"M209 Assault Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Advanced",NULL
353131,"SK9M Breach Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Advanced",NULL
353132,"'Bedlam' M512-A Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Advanced",NULL
353133,"'Minddrive' SK9M Breach Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Advanced",NULL
353134,"Six Kin Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Prototype",NULL
353135,"Ishukone Assault Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Prototype",NULL
353139,"'Spitfire' Six Kin Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Prototype",NULL
353144,"Breach Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Standard",NULL
353145,"'Strumborne' Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Standard",NULL
353146,"9K330 Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Advanced",NULL
353147,"DAU-2/A Assault Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Advanced",NULL
353148,"DCMA-5 Breach Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Advanced",NULL
353149,"'Blastwave' 9K330 Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Advanced",NULL
353151,"Kaalakiota Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Prototype",NULL
353152,"Ishukone Assault Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Prototype",NULL
353154,"'Grimlock' Guristas Assault Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Prototype",NULL
353156,"'Torchflare' Kaalakiota Forge Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Forge Guns","Prototype",NULL
353161,"Tactical Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Standard",NULL
353162,"Charge Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Prototype",NULL
353163,"'Farsight' Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Standard",NULL
353164,"NT-511 Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Advanced",NULL
353165,"C27-N Specialist Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Advanced",NULL
353166,"C15-A Tactical Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Advanced",NULL
353167,"'Genesis' NT-511 Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Advanced",NULL
353168,"'Downwind' C15-A Tactical Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Advanced",NULL
353169,"Ishukone Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Prototype",NULL
353171,"Roden Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Prototype",NULL
353172,"'Horizon' Kaalakiota Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Prototype",NULL
353179,"Assault Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Standard",NULL
353181,"'Scattermind' Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Standard",NULL
353182,"CBR7 Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Advanced",NULL
353183,"CBR-112 Specialist Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Advanced",NULL
353184,"CFG-129 Assault Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Advanced",NULL
353185,"'Darkside' CBR7 Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Advanced",NULL
353187,"Wiyrkomi Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Prototype",NULL
353188,"Wiyrkomi Specialist Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Prototype",NULL
353189,"Ishukone Assault Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Prototype",NULL
353192,"'Haywire' Wiyrkomi Swarm Launcher","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Swarm Launchers","Prototype",NULL
353198,"'Surgewick' Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Standard",NULL
353199,"CAR-9 Burst Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Advanced",NULL
353200,"IA5 Tactical Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Advanced",NULL
353201,"TT-3 Assault Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Advanced",NULL
353202,"'Flashbow' CAR-9 Burst Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Advanced",NULL
353205,"Viziam Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Prototype",NULL
353206,"Imperial Burst Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Prototype",NULL
353207,"'Burnscar' Khanid Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Prototype",NULL
353209,"'Singetear' Viziam Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Prototype",NULL
353691,"Sleek Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Standard",NULL
353693,"M1 Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Advanced",NULL
353694,"M8 Packed Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Advanced",NULL
353695,"'Shroud' M1 Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Advanced",NULL
353696,"Core Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Prototype",NULL
353698,"'Cavity' M2 Contact Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Advanced",NULL
353699,"'Vapor' Core Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Prototype",NULL
353730,"Sleek AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Standard",NULL
353731,"Packed AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Standard",NULL
353732,"EX-0 AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Advanced",NULL
353733,"EX-11 Packed AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Advanced",NULL
353734,"'Hollow' EX-0 AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Advanced",NULL
353735,"Wiyrkomi AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Prototype",NULL
353736,"Lai Dai Sleek AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Prototype",NULL
353738,"'Sigil' Wiyrkomi AV Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Anti-Vehicle Grenades","Prototype",NULL
353749,"Volatile Locus Grenade","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Grenades","Locus Grenades","Standard",NULL
353772,"80GJ Neutron Blaster","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Blaster","Large","Advanced",NULL
353773,"80GJ Ion Cannon","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Blaster","Large","Prototype",NULL
353774,"20GJ Neutron Blaster","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Blaster","Small","Advanced",NULL
353775,"20GJ Ion Cannon","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Blaster","Small","Prototype",NULL
353783,"80GJ Particle Cannon","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Railgun","Large","Prototype",NULL
353796,"20GJ Particle Accelerator","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Railgun","Small","Advanced",NULL
353797,"20GJ Particle Cannon","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Railgun","Small","Prototype",NULL
353800,"AT-1 Missile Launcher","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Missile","Small","Advanced",NULL
353801,"XT-1 Missile Launcher","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Missile","Small","Prototype",NULL
353817,"XT-201 Missile Launcher","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Missile","Large","Prototype",NULL
353818,"AT-201 Missile Launcher","NG","Infantry Gear","Vehicles and Gear","Vehicle Turrets","Missile","Large","Advanced",NULL
353980,"Enhanced Heavy Armor Repairer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Repairers","Heavy",NULL
353981,"Complex Heavy Armor Repairer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Repairers","Heavy",NULL
353983,"Enhanced Light Armor Repairer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Repairers","Light",NULL
353984,"Complex Light Armor Repairer","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Repairers","Light",NULL
354129,"Enhanced Light Shield Booster","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Boosters","Light",NULL
354130,"Complex Light Shield Booster","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Boosters","Light",NULL
354132,"Enhanced Heavy Shield Booster","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Boosters","Heavy",NULL
354133,"Basic Heavy Shield Booster","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Boosters","Heavy",NULL
354134,"Complex Heavy Shield Booster","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Boosters","Heavy",NULL
354151,"Enhanced Heavy Shield Extender","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Extenders","Heavy",NULL
354152,"Complex Heavy Shield Extender","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Extenders","Heavy",NULL
354154,"Enhanced Light Shield Extender","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Extenders","Light",NULL
354155,"Complex Light Shield Extender","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Shield","Shield Extenders","Light",NULL
354176,"Enhanced 60mm Armor Plates","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Plates","60mm Armor Plates",NULL
354177,"Complex 60mm Armor Plates","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Plates","60mm Armor Plates",NULL
354179,"Enhanced 120mm Armor Plates","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Plates","120mm Armor Plates",NULL
354180,"Complex 120mm Armor Plates","NG","Infantry Gear","Vehicles and Gear","Vehicle Modules","Armor","Armor Plates","120mm Armor Plates",NULL
354583,"Shotgun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Shotguns","Standard",NULL
354685,"Laser Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Laser Rifles","Standard",NULL
354912,"'Stimulus' Complex Shield Extender","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Extenders","Shield Extenders",NULL
354913,"'Static' Complex Shield Recharger","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Modules","Shield","Shield Rechargers","Shield Rechargers",NULL
354928,"GB-9 Breach Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Advanced",NULL
354929,"GLU-5 Tactical Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Advanced",NULL
354930,"Duvolle Tactical Assault Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Assault Rifles","Prototype",NULL
354956,"CRG-3 Shotgun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Shotguns","Advanced",NULL
354957,"CreoDron Shotgun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Shotguns","Prototype",NULL
354959,"ELM-7 Laser Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Laser Rifles","Advanced",NULL
354960,"Viziam Laser Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Laser Rifles","Prototype",NULL
354961,"MH-82 Heavy Machine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Heavy Machine Guns","Advanced",NULL
354962,"Boundless Heavy Machine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Heavy Machine Guns","Prototype",NULL
354963,"EXO-5 Mass Driver","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Mass Drivers","Advanced",NULL
354964,"Freedom Mass Driver","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Mass Drivers","Prototype",NULL
355254,"Boundless Breach Submachine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Submachine Guns","Prototype",NULL
355256,"Kaalakiota Tactical Sniper Rifle","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Sniper Rifles","Prototype",NULL
355257,"KLO-1 Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Advanced",NULL
355258,"Carthum Assault Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Prototype",NULL
355259,"Assault Scrambler Pistol","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Sidearm","Scrambler Pistols","Standard",NULL
355260,"'Cerberus' CRG-3 Shotgun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Shotguns","Advanced",NULL
355261,"'Hydra' CreoDron Shotgun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Shotguns","Prototype",NULL
355262,"'Broadside' MH-82 Heavy Machine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Heavy Machine Guns","Advanced",NULL
355263,"'Steelmine' Boundless Heavy Machine Gun","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Heavy","Heavy Machine Guns","Prototype",NULL
355264,"'Cyclone' EXO-5 Mass Driver","NG","Infantry Gear","Dropsuits and Gear","Dropsuit Weapons","Light","Mass Drivers","Advanced",NULL
